id,naam,cat,plaats,provincie,rating,kassa,verified,bron,omschrijving
efteling,Efteling,attractiepark,Kaatsheuvel,Noord-Brabant,4.8,56.00,2026-05-26,efteling.com,"Het grootste en bekendste attractiepark van Nederland, beroemd om zijn sprookjesbos en achtbanen. Efteling werkt met dynamische dagprijzen: op rustige dagen ben je het voordeligst uit."
walibi,Walibi Holland,attractiepark,Biddinghuizen,Flevoland,4.5,46.00,2026-05-26,walibi.nl,"Adrenalinepark met spectaculaire achtbanen zoals Untamed en Goliath. Online en via vroegboekdeals ligt de prijs flink onder het kassatarief."
toverland,Toverland,attractiepark,Sevenum,Limburg,4.6,46.50,2026-05-26,toverland.com,"Sfeervol attractiepark met afwisseling tussen indoor- en outdoor-themagebieden. Wie minimaal 7 dagen vooraf boekt, krijgt Early Bird-korting."
duinrell,Duinrell,attractiepark,Wassenaar,Zuid-Holland,4.3,26.00,2026-05-26,duinrell.nl,"Attractiepark en vakantiepark met gratis attracties en het Tikibad. Kaartjes zijn uitsluitend online te koop met dynamische prijzen."
burgers-zoo,Burgers' Zoo,dierentuin,Arnhem,Gelderland,4.7,29.00,2026-05-26,burgerszoo.nl,"Dierentuin met indrukwekkende ecodisplays: Bush, Desert, Ocean en Mangrove. Online datumtickets zijn voordeliger dan aan de kassa."
artis,ARTIS,dierentuin,Amsterdam,Noord-Holland,4.6,29.50,2026-05-26,artis.nl,"De oudste dierentuin van Nederland, midden in Amsterdam, met sterrenwacht en aquarium. Online is altijd voordeliger en de prijs verschilt per dag."
ouwehands,Ouwehands Dierenpark,dierentuin,Rhenen,Utrecht,4.7,30.50,2026-05-26,ouwehand.nl,"Dierenpark bekend van de pandaverblijven en speeltuin. Met de dinsdagdeal en Early Bird boek je het voordeligst."
beekse-bergen,Safaripark Beekse Bergen,dierentuin,Hilvarenbeek,Noord-Brabant,4.5,32.50,2026-05-26,beeksebergen.nl,"Het grootste safaripark van de Benelux, te bezoeken per auto, boot, bus of te voet. Werkt met variabele entreeprijzen per dag."
dolfinarium,Dolfinarium,dierentuin,Harderwijk,Gelderland,4.2,29.00,2026-05-26,dolfinarium.nl,"Grootste zeezoogdierenpark van Europa met shows en interactieve verblijven. Online tickets zijn altijd voordeliger dan aan de kassa."
tikibad,Tikibad (Duinrell),waterpark,Wassenaar,Zuid-Holland,4.4,20.00,2026-05-26,duinrell.nl,"Tropisch zwemparadijs met een van de grootste glijbaancollecties van Europa. Reserveren met tijdslot is verplicht; online bespaar je tot 15%."
plopsa-coevorden,Plopsa Indoor Coevorden,indoor,Coevorden,Drenthe,4.1,27.50,2026-05-26,plopsa.com,"Overdekt pretpark met attracties rond bekende kinderfiguren — ideaal bij slecht weer. Datumtickets zijn online flink voordeliger."
monkey-town,Monkey Town,indoor,Meerdere locaties,Landelijk,3.9,10.95,2026-05-26,monkeytown.eu,"Landelijke keten van indoor-speelparadijzen voor jonge kinderen. Begeleiders gratis; prijs per kind, tarieven verschillen per vestiging."
